SKU,Modelo,Gusto,Precio,preciodescuento,semanalidad,frase,img3/4d,img3/4i,imgfrentes,imgfrente,Caracteristicas/motor/Tipodemotor,Caracteristicas/motor/Cilindrada,Caracteristicas/motor/Velocidadmaxima,Caracteristicas/motor/Potenciamaxima,Caracteristicas/motor/Torquemaximo,Caracteristicas/motor/Rendimientodecombustible,Caracteristicas/motor/Sistemadearranque,Caracteristicas/motor/Sistemadeignicion,Caracteristicas/motor/TransmisionFinal,Caracteristicas/motor/Capacidaddecombustible,Caracteristicas/motor/Rendimientodecombustibleportanque,Caracteristicas/motor/Capacidaddeaceite,Caracteristicas/motor/Tipodeenfriamiento,Caracteristicas/chasis/Suspensiondelantera,Caracteristicas/chasis/Suspensiontrasera,Caracteristicas/chasis/Frenosdelanteros,Caracteristicas/chasis/Frenostraseros,Caracteristicas/chasis/Llantadelantera,Caracteristicas/chasis/Llantatrasera,Caracteristicas/dimensionPeso/Largototal,Caracteristicas/dimensionPeso/Anchototal,Caracteristicas/dimensionPeso/Altototal,Caracteristicas/dimensionPeso/Alturadelasiento,Caracteristicas/dimensionPeso/Capacidaddecarga,Caracteristicas/dimensionPeso/Pesoenseco,video,nombre archivo video,Caracteristicas/dimensionPeso/dimensionPeso,Caracteristicas/motor/Cambios,Caracteristicas/motor/Autonomía,Caracteristicas/motor/Tiempoderecarga,Caracteristicas/motor/TipoBateria,Caracteristicas/motor/CapacidadAh,Caracteristicas/chasis/Rodada,Caracteristicas/chasis/TamanoRin,Caracteristicas/chasis/Rin,Caracteristicas/dimensionPeso/Pesototal,Caracteristicas/dimensionPeso/Distanciaentreejes
34004268,W150,MOTONETAS,"$29,999.00","$22,999.00",$279.00,Dale estilo a tu camino,/imagenes/italika/motos/23_W150/optimizadas/w150_3_4_der.png,/imagenes/italika/motos/23_W150/optimizadas/w150_3_4_izq.png,/imagenes/italika/motos/23_W150/optimizadas/w150_s.png,/imagenes/italika/motos/23_W150/optimizadas/w150.png,"4 Tiempos, monocilíndrico",149.6 CC,90 km/h,9.38 Hp @ 8000 RPM,9 N-m @ 5500 RPM,28 km/L,Eléctrico y de pedal,,Automática/por banda,5.5 L,154 km,.8 L,,Horquilla telescópica,Basculante mono amortiguador,Tambor,Tambor,120/90-R10,130/90-R10,1895 mm,665 mm,1115 mm,820 mm,150 kg,104 kg,,,,,,,,,,,,,
34004273,MODENA150 A,MOTONETAS,"$35,554.00","$27,999.00",$390.00,Dale estilo a tu camino,/imagenes/italika/motos/21_Modena150/optimizadas/modena150_3_4_der.png,/imagenes/italika/motos/21_Modena150/optimizadas/modena150_3_4_izq.png,/imagenes/italika/motos/21_Modena150/optimizadas/modena150_s.png,/imagenes/italika/motos/21_Modena150/optimizadas/modena150.png,"4 Tiempos, monocilíndrico",149.6 CC,90 km/h,8.6 Hp @ 7500 RPM,9 N-m @ 5000 RPM,28 km/L,Eléctrico y de pedal,CDI (Ignición por descarga de condensador),Automática/por banda,6.5 L,182 km,.8 L,Aire forzado,Horquilla telescópica,Basculante mono amortiguador,Disco Sencillo,Tambor,120/70-12,130/70-12,1850 mm,680 mm,1160 mm,780 mm,150 kg,101 kg,,,,,,,,,,,,,
34004274,WS150 B/A,MOTONETAS,"$32,221.00","$24,999.00",$360.00,Dale estilo a tu camino,/imagenes/italika/motos/25_WS150B/optimizadas/ws150b_3_4_der.png,/imagenes/italika/motos/25_WS150B/optimizadas/ws150b_3_4_izq.png,/imagenes/italika/motos/25_WS150B/optimizadas/ws150b_s.png,/imagenes/italika/motos/25_WS150B/optimizadas/ws150b.png,"4 Tiempos, monocilíndrico",149.6 CC,90 km/h,8.6 Hp @ 7500 RPM,9 N-m @ 5000 RPM,28 km/L,Eléctrico y de pedal,CDI (Ignición por descarga de condensador),Automática/por banda,5.5 L,154 km,.8 L,Aire forzado,Horquilla telescópica,Basculante mono amortiguador,Disco Sencillo,Tambor,120/90-R10,130/90-R10,1900 mm,700 mm,1140 mm,800 mm,150 kg,114 kg,,,,,,,,,,,,,
34004306,VITALIA150,MOTONETAS,"$33,332.00","$26,999.00",$360.00,Estilo retro,/imagenes/italika/motos/26_Vitalia150/optimizadas/vitalia150_3_4_der.png,/imagenes/italika/motos/26_Vitalia150/optimizadas/vitalia150_3_4_izq.png,/imagenes/italika/motos/26_Vitalia150/optimizadas/vitalia150_s.png,/imagenes/italika/motos/26_Vitalia150/optimizadas/vitalia150.png,"4 Tiempos, monocilíndrico",149 CC,86 km/h,8.4 Hp @ 7500 RPM,8.6 N-m @ 6500 RPM,28 km/L,Eléctrico y de pedal,,Automática/por banda,5 L,140 km,.8 L,,Horquilla telescópica,Basculante mono amortiguador,Disco Sencillo,Tambor,120/70-R12,120/70-R12,1910 mm,655 mm,1160 mm,780 mm,150 kg,97 kg,,/videos/italika/motos/26_VITALIA150.mp4,,,,,,,,,,,
34002535,VORT-X200,NAKED/ DEPORTIVA,"$60,554.00","$49,999.00",$571.00,Elevan tu adrenalina,/imagenes/italika/motos/27_VORTX200/optimizadas/VORTX200_3_4_der.png,/imagenes/italika/motos/27_VORTX200/optimizadas/VORTX200_3_4_izq.png,/imagenes/italika/motos/27_VORTX200/optimizadas/VORTX200_s.png,/imagenes/italika/motos/27_VORTX200/optimizadas/VORTX200.png,"4 Tiempos, monocilíndrico OHC",190 CC,125 km/h,20 Hp @ 9000 RPM,17 N-m @ 7500 RPM,30 km/L,Eléctrico,CDI (Ignición por descarga de condensador),Estándar de 5 velocidades/por cadena,12.5 L,375 km,1 L,Aire forzado,Horquilla telescópica,Basculante MonoShock,Disco Sencillo,Disco Sencillo,100/80-R17,140/60-R17,1995 mm,800 mm,1080 mm,830 mm,150 kg,148 kg,https://www.youtube.com/watch?v=D7HcJ9eDdf0&feature=emb_logo,/videos/italika/motos/27_VORTX200.mp4,,,,,,,,,,,
34002544,VORT-X300,NAKED/ DEPORTIVA,"$72,221.00","$59,999.00",$673.00,Elevan tu adrenalina,/imagenes/italika/motos/28_VORTX300/optimizadas/VORTX300_3_4_der.png,/imagenes/italika/motos/28_VORTX300/optimizadas/VORTX300_3_4_izq.png,/imagenes/italika/motos/28_VORTX300/optimizadas/VORTX300_s.png,/imagenes/italika/motos/28_VORTX300/optimizadas/VORTX300.png,"4 Tiempos, monocilíndrico",292 CC,135 km/h,26.8 Hp @ 8500 RPM,24 N-m @ 7000 RPM,24 km/L,Eléctrico,,Estándar de 6 velocidades/por cadena,15 L,360 km,1.3 L,Aire forzado,Horquilla telescópica,Basculante MonoShock,Disco Sencillo,Disco Sencillo,110/70-R17,150/60-R17,2050 mm,685 mm,1075 mm,780 mm,150 kg,140 kg,https://www.youtube.com/watch?v=1n3MRyKnUy0&feature=emb_logo,/videos/italika/motos/28_VORTX300.mp4,,,,,,,,,,,
34002545,VORT-X650,NAKED/ DEPORTIVA,"$144,443.00","$113,999.00",,Elevan tu adrenalina,/imagenes/italika/motos/29_VORTX650/optimizadas/VORTX650_3_4_der.png,/imagenes/italika/motos/29_VORTX650/optimizadas/VORTX650_3_4_izq.png,/imagenes/italika/motos/29_VORTX650/optimizadas/VORTX650_s.png,/imagenes/italika/motos/29_VORTX650/optimizadas/VORTX650.png,"4 Tiempos, monocilíndrico 4 válvulas DOHC",652 CC,170 km/h,49.6 Hp @ 6500 RPM,60 N-m @ 5500 RPM,19 km/L,Eléctrico,EFI,Estándar de 5 velocidades/por cadena,13 L,247 km,2.3 L,Líquido,Horquilla telescópica invertida,Basculante MonoShock,Doble Disco,Disco Sencillo,120/70–R17,160/60–R17,2035 mm,850 mm,1050 mm,815 mm,150 kg,168 kg,,,,,,,,,,,,,
34004271,RT200,NAKED/ DEPORTIVA,"$50,666.00","$39,999.00",$500.00,Inspiración deportiva,/imagenes/italika/motos/30_RT200/optimizadas/RT200_3_4_der.png,/imagenes/italika/motos/30_RT200/optimizadas/RT200_3_4_izq.png,/imagenes/italika/motos/30_RT200/optimizadas/RT200_s.png,/imagenes/italika/motos/30_RT200/optimizadas/RT200.png,"4 Tiempos, monocilíndrico",200 CC,116 km/h,14.7 Hp @ 7500 RPM,14.02 N-m @ 6000 RPM,25 km/L,Eléctrico,CDI (Ignición por descarga de condensador),Estándar de 5 velocidades/por cadena,16 L,400 km,1 L,Aire forzado,Horquilla telescópica,Basculante MonoShock,Disco Sencillo,Disco Sencillo,90/80-R17,130/70-R17,1985 mm,812 mm,1190 mm,780 mm,150 kg,156 kg,https://www.youtube.com/watch?v=u5fLpB6kbw8&feature=emb_logo,/videos/italika/motos/30_RT200.mp4,,,,,,,,,,,
34004323,RT250,NAKED/ DEPORTIVA,"$60,554.00","$49,999.00",$624.00,Inspiración deportiva,/imagenes/italika/motos/31_RT250/optimizadas/RT250_3_4_der.png,/imagenes/italika/motos/31_RT250/optimizadas/RT250_3_4_izq.png,/imagenes/italika/motos/31_RT250/optimizadas/RT250_s.png,/imagenes/italika/motos/31_RT250/optimizadas/RT250.png,"4 Tiempos, monocilíndrico",250 CC,122 km/h,17.3 Hp @ 8500 RPM,16.6 N-m @ 7500 RPM,23 km/L,Eléctrico,,Estándar de 6 velocidades/por cadena,16 L,368 km,1.3 L,,Horquilla telescópica,Basculante MonoShock,Disco Sencillo,Disco Sencillo,100/80-R17,120/80-R17,2090 mm,865 mm,1205 mm,780 mm,150 kg,156 kg,,/videos/italika/motos/31_RT250.mp4,,,,,,,,,,,
34004269,AT125,SEMIAUTOMATICAS,"$26,110.00","$19,999.00",$290.00,Facil manejo y alto rendimiento,/imagenes/italika/motos/32_AT125RT/optimizadas/AT125RT_3_4_der.png,/imagenes/italika/motos/32_AT125RT/optimizadas/AT125RT_3_4_izq.png,/imagenes/italika/motos/32_AT125RT/optimizadas/AT125RT_s.png,/imagenes/italika/motos/32_AT125RT/optimizadas/AT125RT.png,"4 Tiempos, monocilíndrico",124 CC,85 km/h,8.7 Hp @ 7700 RPM,9 N-m @ 7000 RPM,36 km/L,Eléctrico y de pedal,CDI (Ignición por descarga de condensador),Estándar de 4 velocidades/por cadena,3.5 L,126 km,.9 L,Aire forzado,Horquilla telescópica,Basculante con doble amortiguador,Disco Sencillo,Tambor,2.50 - R17,12.75 - R17,1930 mm,690 mm,1270 mm,775 mm,150 kg,,,,,,,,,,,,,,
34004275,AT110RT,SEMIAUTOMATICAS,"$24,443.00","$17,999.00",$226.00,Facil manejo y alto rendimiento,/imagenes/italika/motos/33_AT110RT/optimizadas/AT110RT_3_4_der.png,/imagenes/italika/motos/33_AT110RT/optimizadas/AT110RT_3_4_izq.png,/imagenes/italika/motos/33_AT110RT/optimizadas/AT110RT_s.png,/imagenes/italika/motos/33_AT110RT/optimizadas/AT110RT.png,"4 Tiempos, monocilíndrico",107 CC,70 km/h,7.2 Hp @ 8500 RPM,6.5 N-m @ 7000 RPM,45 km/L,Eléctrico y de pedal,CDI (Ignición por descarga de condensador),Estándar de 4 velocidades/por cadena,3.2 L,144 km,.8 L,,Horquilla telescópica,Basculante doble amortiguador,Disco Sencillo,Tambor,2.50 - R17,2.75 - R17,1863 mm,690 mm,1094 mm,769 mm,150 kg,87.5 kg,,,,,,,,,,,,,
34004276,AT110,SEMIAUTOMATICAS,"$22,221.00","$14,999.00",$190.00,Facil manejo y alto rendimiento,/imagenes/italika/motos/34_ATT110/optimizadas/ATT110_3_4_der.png,/imagenes/italika/motos/34_ATT110/optimizadas/ATT110_3_4_izq.png,/imagenes/italika/motos/34_ATT110/optimizadas/ATT110_s.png,/imagenes/italika/motos/34_ATT110/optimizadas/ATT110.png,"4 Tiempos, monocilíndrico",107 CC,73 km/h,6.5 Hp @ 8500 RPM,6.5 N-m @ 5500 RPM,43 km/L,Eléctrico y de pedal,CDI (Ignición por descarga de condensador),Estándar de 4 velocidades/por cadena,3.5 L,150.5 km,.8 L,Aire forzado,Horquilla telescópica,Basculante doble amortiguador,Tambor,Tambor,2.50-R17,2.75-R17,1945 mm,670 mm,1090 mm,775 mm,150 kg,87 kg,,,,,,,,,,,,,
34001913,FT125TS,TRABAJO,"$23,888.00","$18,999.00",$215.00,Productividad y resistencia,/imagenes/italika/motos/35_FT125TS/optimizadas/FT125TS_3_4_der.png,/imagenes/italika/motos/35_FT125TS/optimizadas/FT125TS_3_4_izq.png,/imagenes/italika/motos/35_FT125TS/optimizadas/FT125TS_s.png,/imagenes/italika/motos/35_FT125TS/optimizadas/FT125TS.png,"4 Tiempos, monocilíndrico",124 CC,80 km/h,12 Hp @ 7000 RPM,9.5 N-m @ 7500 RPM,38 km/L,Eléctrico y de pedal,,Estándar de 5 velocidades/por cadena,12.5 L,475 km,1 L,,Horquilla telescópica,Basculante doble amortiguador,Tambor,Tambor,12.50 - R18,3.00 - R18,1925 mm,735 mm,950 mm,750 mm,150 kg,107 kg,,,,,,,,,,,,,
34002212,FT250TS,TRABAJO,"$42,777.00","$34,999.00",$405.00,Productividad y resistencia,/imagenes/italika/motos/36_FT250TS/optimizadas/FT250TS_3_4_der.png,/imagenes/italika/motos/36_FT250TS/optimizadas/FT250TS_3_4_izq.png,/imagenes/italika/motos/36_FT250TS/optimizadas/FT250TS_s.png,/imagenes/italika/motos/36_FT250TS/optimizadas/FT250TS.png,"4 Tiempos, monocilíndrico",250 CC,120 km/h,18 Hp @ 8500 RPM,16.6 N-m @ 6500 RPM,24 km/L,Eléctrico y de pedal,,Estándar de  velocidades/por cadena,16 L,384 km,1.1 L,,Horquilla telescópica,Basculante con doble amortiguador,Disco Sencillo,Tambor,80/90-R18,110/80-R18,2100 mm,700 mm,1030 mm,770 mm,150 kg,124.5 kg,,,,,,,,,,,,,
34002532,FT150GTS,TRABAJO,"$27,777.00","$21,499.00",$276.00,Productividad y resistencia,/imagenes/italika/motos/37_FT150GTS/optimizadas/FT150GTS_3_4_der.png,/imagenes/italika/motos/37_FT150GTS/optimizadas/FT150GTS_3_4_izq.png,/imagenes/italika/motos/37_FT150GTS/optimizadas/FT150GTS_s.png,/imagenes/italika/motos/37_FT150GTS/optimizadas/FT150GTS.png,"4 Tiempos, monocilíndrico",149 CC,90 km/h,14.4 Hp @ 8500 RPM,13 N-m @ 7500 RPM,30 km/L,Eléctrico y de pedal,,Estándar de 5 velocidades/por cadena,17 L,510 km,1 L,,Horquilla telescópica,Basculante con doble amortiguador,Disco Sencillo,Tambor,2.75 - R18,3.00 - R18,2060 mm,725 mm,1080 mm,784 mm,150 kg,105 kg,,,,,,,,,,,,,
34002533,FT150G,TRABAJO,"$25,443.00","$19,999.00",$280.00,Productividad y resistencia,/imagenes/italika/motos/37_FT150GTS/optimizadas/FT150GTS_3_4_der.png,/imagenes/italika/motos/37_FT150GTS/optimizadas/FT150GTS_3_4_izq.png,/imagenes/italika/motos/37_FT150GTS/optimizadas/FT150GTS_s.png,/imagenes/italika/motos/37_FT150GTS/optimizadas/FT150GTS.png,"4 Tiempos, monocilíndrico",149 CC,90 km/h,14.4 Hp @ 8500 RPM,13 N-m @ 7500 RPM,30 km/L,Eléctrico y de pedal,,Estándar de 5 velocidades/por cadena,14 L,420 km,1 L,,Horquilla telescópica,Basculante doble amortiguador,Tambor,Tambor,2.75-R18,3.00 - R18,2060 mm,725 mm,1080 mm,784 mm,150 kg,112 kg,,,,,,,,,,,,,
34002534,FT125,TRABAJO,"$19,999.00","$14,999.00",$193.00,Productividad y resistencia,/imagenes/italika/motos/39_FT125/optimizadas/FT125_3_4_der.png,/imagenes/italika/motos/39_FT125/optimizadas/FT125_3_4_izq.png,/imagenes/italika/motos/39_FT125/optimizadas/FT125_s.png,/imagenes/italika/motos/39_FT125/optimizadas/FT125.png,"4 Tiempos, monocilíndrico",124 CC,80 km/h,12 Hp @ 7000 RPM,9.5 N-m @ 7500 RPM,38 km/L,Eléctrico y de pedal,CDI (Ignición por descarga de condensador),Estándar de 5 velocidades/por cadena,9 L,342 km,1 L,Aire forzado,Horquilla telescópica,Basculante doble amortiguador,Tambor,Tambor,2.50-R17,2.75-R17,1925 mm,735 mm,950 mm,750 mm,150 kg,98 kg,,,,,,,,,,,,,
34003371,FT150,TRABAJO,"$22,221.00","$15,999.00",$215.00,Productividad y resistencia,/imagenes/italika/motos/40_FT150/optimizadas/FT150_3_4_der.png,/imagenes/italika/motos/40_FT150/optimizadas/FT150_3_4_izq.png,/imagenes/italika/motos/40_FT150/optimizadas/FT150_s.png,/imagenes/italika/motos/40_FT150/optimizadas/FT150.png,"4 Tiempos, monocilíndrico",149 CC,90 km/h,14.4 Hp @ 8500 RPM,13 N-m @ 7500 RPM,32 km/L,Eléctrico y de pedal,CDI (Ignición por descarga de condensador),Estándar de 5 velocidades/por cadena,12.5 L,400 km,1 L,Aire forzado,Horquilla telescópica,Basculante con doble amortiguador,Tambor,Tambor,2.50 - R17,2.75 - R17,1925 mm,735 mm,950 mm,750 mm,150 kg,98 kg,,,,,,,,,,,,,
34003372,200Z,LÍNEA Z,"$48,443.00","$35,999.00",$393.00,¿Eres #PilotoZ?,/imagenes/italika/motos/41_200Z/optimizadas/200Z_3_4_der.png,/imagenes/italika/motos/41_200Z/optimizadas/200Z_3_4_izq.png,/imagenes/italika/motos/41_200Z/optimizadas/200Z_s.png,/imagenes/italika/motos/41_200Z/optimizadas/200Z.png,"4 Tiempos, monocilíndrico",196 CC,110 km/h,16.4 Hp @ 8000 RPM,15 N-m @ 6500 RPM,28 km/L,Eléctrico,CDI (Ignición por descarga de condensador),Estándar de 5 velocidades/por cadena,17 L,476 km,1.2 L,Aire forzado,Suspensión delantera Horquilla telescópica,Basculante mono shock,Disco Sencillo,Disco Sencillo,80/90-R17,120/70-R17,2010 mm,785 mm,1100 mm,780 mm,150 kg,125 kg,,,,,,,,,,,,,
34003374,FT180TS,TRABAJO,"$35,888.00","$26,999.00",$306.00,Productividad y resistencia,/imagenes/italika/motos/42_FT180/optimizadas/FT180_3_4_der.png,/imagenes/italika/motos/42_FT180/optimizadas/FT180_3_4_izq.png,/imagenes/italika/motos/42_FT180/optimizadas/FT180_s.png,/imagenes/italika/motos/42_FT180/optimizadas/FT180.png,"4 Tiempos, monocilíndrico",175 CC,105 km/h,15.8 Hp @ 7000 RPM,15.64 N-m @ 5500 RPM,27 km/L,Eléctrico y de pedal,CDI (Ignición por descarga de condensador),Estándar de 5 velocidades/por cadena,17 L,459 km,1 L,Aire forzado,Horquilla telescópica,Basculante con doble amortiguador,Disco Sencillo,Tambor,2.75-R18,3.00-R18,2102 mm,750 mm,1070 mm,770 mm,150 kg,118 kg,,,,,,,,,,,,,
34003375,FT200TS,TRABAJO,"$37,554.00","$29,999.00",$341.00,Productividad y resistencia,/imagenes/italika/motos/43_FT200TS/optimizadas/FT200TS_3_4_der.png,/imagenes/italika/motos/43_FT200TS/optimizadas/FT200TS_3_4_izq.png,/imagenes/italika/motos/43_FT200TS/optimizadas/FT200TS_s.png,/imagenes/italika/motos/43_FT200TS/optimizadas/FT200TS.png,"4 Tiempos, monocilíndrico",196 CC,110 km/h,17 Hp @ 7000 RPM,17 N-m @ 5500 RPM,27 km/L,Eléctrico y de pedal,CDI (Ignición por descarga de condensador),Estándar de 5 velocidades/por cadena,15.5 L,418.5 km,1 L,Aire forzado,Horquilla telescópica,Basculante con doble amortiguador,Disco Sencillo,Tambor,2.75-R18,3.25-R18,2010 mm,755 mm,1060 mm,773 mm,150 kg,122 kg,,,,,,,,,,,,,
34003376,150Z,LÍNEA Z,"$38,888.00","$28,999.00",$311.00,¿Eres #PilotoZ?,/imagenes/italika/motos/44_150Z/optimizadas/150Z_3_4_der.png,/imagenes/italika/motos/44_150Z/optimizadas/150Z_3_4_izq.png,/imagenes/italika/motos/44_150Z/optimizadas/150Z_s.png,/imagenes/italika/motos/44_150Z/optimizadas/150Z.png,"4 Tiempos, monocilíndrico",150.06 CC,90 km/h,14 Hp @ 8500 RPM,14.35 N-m @ 7500 RPM,30 km/L,Eléctrico y de pedal,,Estándar de 5 velocidades/por cadena,14 L,420 km,1 L,Aire forzado,Horquilla telescópica,Basculante mono shock,Disco Sencillo,Tambor,80/90-R17,120/70-R17,1990 mm,785 mm,1100 mm,770 mm,150 kg,120 kg,https://www.youtube.com/watch?v=MPaJu1D3drA&feature=emb_logo,/videos/italika/motos/44_150Z.mp4,,,,,,,,,,,
34004021,FT150TS,TRABAJO,"$25,554.00","$19,999.00",$238.00,Productividad y resistencia,/imagenes/italika/motos/45_FT150TS/optimizadas/FT150TS_3_4_der.png,/imagenes/italika/motos/45_FT150TS/optimizadas/FT150TS_3_4_izq.png,/imagenes/italika/motos/45_FT150TS/optimizadas/FT150TS_s.png,/imagenes/italika/motos/45_FT150TS/optimizadas/FT150TS.png,"4 Tiempos, monocilíndrico",149 CC,90 km/h,14.4 Hp @ 8500 RPM,13 N-m @ 7500 RPM,32 km/L,Eléctrico y de pedal,,Estándar de 5 velocidades/por cadena,13.3 L,425.6 km,1 L,Aire forzado,Horquilla telescópica,Basculante doble amortiguador,Tambor,Tambor,2.50-R18,3.00-R18,1925 mm,735 mm,948 mm,748 mm,150 kg,99 kg,,,,,,,,,,,,,
34004226,250Z,LÍNEA Z,"$55,554.00","$42,999.00",$475.00,¿Eres #PilotoZ?,/imagenes/italika/motos/46_250Z/optimizadas/250Z_3_4_der.png,/imagenes/italika/motos/46_250Z/optimizadas/250Z_3_4_izq.png,/imagenes/italika/motos/46_250Z/optimizadas/250Z_s.png,/imagenes/italika/motos/46_250Z/optimizadas/250Z.png,"4 Tiempos, monocilíndrico OHC",250 CC,123 km/h,17.9 Hp @ 7000 RPM,17.7 N-m @ 6000 RPM,23.5 km/L,Eléctrico,,Estándar de 6 velocidades/por cadena,11 L,258.5 km,1.3 L,,Horquilla telescópica,Basculante Mono Shock,Disco Sencillo,Disco Sencillo,110/70-R17,140/60-R17,2030 mm,800 mm,1080 mm,780 mm,150 kg,130 kg,https://www.youtube.com/watch?v=BdT47xymqIM&feature=emb_logo,/videos/italika/motos/46_250Z.mp4,,,,,,,,,,,
34004229,125Z,LÍNEA Z,"$32,221.00","$22,999.00",$295.00,¿Eres #PilotoZ?,/imagenes/italika/motos/47_125Z/optimizadas/125Z_3_4_der.png,/imagenes/italika/motos/47_125Z/optimizadas/125Z_3_4_izq.png,/imagenes/italika/motos/47_125Z/optimizadas/125Z_s.png,/imagenes/italika/motos/47_125Z/optimizadas/125Z.png,"4 Tiempos, monocilíndrico",124 CC,90 km/h,108 Hp @ 8500 RPM,9.5 N-m @ 7500 RPM,34 km/L,Eléctrico y de pedal,,Estándar de 5 velocidades/por cadena,15.5 L,527 km,.9 L,,Horquilla telescópica,Basculante doble amortiguador,Disco Sencillo,Tambor,2.75-R17,90/90-R17,1935 mm,710 mm,1070 mm,770 mm,150 kg,111 kg,https://www.youtube.com/watch?v=u2i2zBfJNNI&feature=emb_logo,/videos/italika/motos/47_125Z.mp4,,,,,,,,,,,
34004307,FT150HD,TRABAJO,"$33,999.00","$26,999.00",$352.00,"Soporte Campaña Lanzamiento: Resistencia, Rendimiento y Rentabilidad",/imagenes/italika/motos/48_FT150HD/optimizadas/FT150HD_3_4_der.png,/imagenes/italika/motos/48_FT150HD/optimizadas/FT150HD_3_4_izq.png,/imagenes/italika/motos/48_FT150HD/optimizadas/FT150HD_s.png,/imagenes/italika/motos/48_FT150HD/optimizadas/FT150HD.png,"4 Tiempos, monocilíndrico",149 CC,103 km/h,12.6 Hp @ 8500 RPM,14.2 N-m @ 8500 RPM,448 km/L,Eléctrico y de pedal,CDI (Ignición por descarga de condensador),Estándar de 5 velocidades/por cadena,14 L,448 km,1 L,Aire forzado,Horquilla telescópica,Basculante doble amortiguador,Disco Sencillo,Tambor,2.75-R18,3/25-R18,2050 mm,780 mm,1090 mm,800 mm,150 kg,117 kg,,,,,,,,,,,,,